Federate,Localize,Target
"[-0.91403097, -0.7986931, -0.66367865, 1.1715839, 1.3372159, 0.86407244]","[-0.17563632, -1.4320788, -0.12284076, -0.26042965, -0.12076032, 2.2387142]",0
"[0.2893903, 0.5763559, 1.5065858, -2.2463663, -1.688333, 1.2664856]","[0.7380771, -0.26402596, -0.16388975, -0.300831, 1.801462, -2.022742]",0
"[0.3174425, 0.60266525, 1.5752016, -1.337869, -2.4872382, 1.1564672]","[0.088192604, -2.0223942, 0.19762939, 0.054984182, 0.19384961, 1.6372538]",0
"[0.7948626, 0.4190956, 2.474923, -2.1029131, -1.5015978, 0.3288248]","[-0.6910726, -0.77748257, 1.6556302, -0.87664616, 1.7264626, -0.8746888]",0
"[0.10108589, 0.39975056, 2.145168, -2.8827972, 0.49899662, 0.3141886]","[-0.6910725, -0.7774825, 1.6556302, -0.8766461, 1.726462, -0.87468874]",0
"[-0.80363244, -0.6060095, -0.870387, 1.1678431, 1.7943989, 0.49998078]","[-1.3109227, -0.47225437, -0.40115064, 0.92579263, -0.39398092, 1.8801169]",0
"[-0.9404594, -0.885733, -0.35882118, 1.4878474, 1.1605465, 0.71735173]","[-0.60920906, -0.69021165, 0.54905266, -0.7787763, -0.63778585, 2.3006825]",0
"[0.017453784, 0.3213144, 1.5209154, -2.8385932, -0.35349905, 1.216248]","[-0.6910726, -0.77748257, 1.6556295, -0.87664616, 1.7264631, -0.8746888]",0
"[0.4702884, 0.746015, 2.299129, -1.9964722, -1.9097064, 0.5761672]","[-0.4198395, -1.4151822, 1.1271778, -0.55238044, 1.9882588, -0.5494425]",0
"[-0.89037, -0.39647242, -1.1117556, 0.80022687, 1.8918575, 0.6709242]","[-1.3109298, -0.4722502, -0.40114588, 0.92578757, -0.39397624, 1.8801162]",0
"[1.1268176, 0.68666744, 2.0257084, -1.521194, -2.2013566, 0.21462023]","[-0.93736833, 0.6177983, 0.93081015, -1.1710986, 1.7583869, -1.1700317]",0
"[0.49967092, 0.773572, 2.1850166, -1.5788852, -2.3070352, 0.5970165]","[-0.6910725, -0.77748245, 1.655628, -0.876646, 1.7264643, -0.8746887]",0
