Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.676760855168686,0.0872817601113087,0.1728616211374832
Localized Learning,0.7172795558740216,0.09295576766064356,0.17
Late Fusion,0.7100663102984618,0.09392106550553474,0.1745104774991412
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.694260599634349,0.1272771770317131,0.22621930127983397
Localized Learning,0.6682322246177936,0.11931161754686934,0.2153032153032153
Late Fusion,0.6937461763191646,0.1265152062457282,0.22334959349593497
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6786999769669388,0.09009340231481683,0.1775813579750904
Localized Learning,0.682809349825559,0.08661682366315998,0.16985413290113452
Late Fusion,0.6995464946779573,0.09051164058780722,0.1723896285914506
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.6780605142475484,0.12545230039201424,0.22515391380826738
Localized Learning,0.6392371613216454,0.09820351249168767,0.13512489581491677
Late Fusion,0.6838174224711004,0.12417430395280933,0.21582003721035126
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.7120004804677404,0.09380753658826349,0.17434798142193642
Localized Learning,0.7045489177815552,0.09287989185494444,0.16271186440677965
Late Fusion,0.7202366367513736,0.09720004546888349,0.1697981906750174
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7176440698121922,0.12964699268108357,0.19989326827780743
Localized Learning,0.732758172848256,0.1366639087300968,0.20391804322583063
Late Fusion,0.7320234356254565,0.13682651555613315,0.20337082850629695
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6963378391027265,0.09506266993163873,0.17377182298010557
Localized Learning,0.6359948924745782,0.08817947996306735,0.15604526503871352
Late Fusion,0.6994100852862185,0.10285389709164211,0.17176015473887815
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7136177545802602,0.12952343396670138,0.20712637785183285
Localized Learning,0.7319852048240033,0.13819203007103276,0.20594755752618302
Late Fusion,0.732126141138677,0.1380867378012236,0.2074465984917282
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6842903660787221,0.09069811787067121,0.17154959406989057
Localized Learning,0.710490872550501,0.09437190832812198,0.16547034378541745
Late Fusion,0.7022505632877283,0.09290582805546928,0.17073987278205557
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7156745713140001,0.13340770267584864,0.20083222108816834
Localized Learning,0.7175735459108138,0.13075526027120407,0.21125265392781317
Late Fusion,0.7276089976987976,0.1375715452551317,0.2057120950737972
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6778430256944818,0.08521092739090992,0.16508352440222732
Localized Learning,0.6775374622677885,0.0886513769473562,0.1652003910068426
Late Fusion,0.6914227882910267,0.09258709147002493,0.17457442955450925
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7239254737225721,0.13612695362952285,0.20393394664921669
Localized Learning,0.7334047229973432,0.13500576531344932,0.20198833412817785
Late Fusion,0.7338756947932532,0.13962108022391595,0.20438010670447337
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.5570422865919791,0.05035388494302516,0.08633093525179857
Localized Learning,0.3436312307864816,0.03409117030897987,0.11701100598571153
Late Fusion,0.4636194235473278,0.040930968262189824,0.08899755501222494
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.4303808513266161,0.04821144805382304,0.0680796403339756
Localized Learning,0.5078932986154829,0.0637592242874199,0.1299324608495584
Late Fusion,0.4429003671713928,0.04919828297903292,0.07819107620609303
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.7197684682183688,0.09543886657047329,0.170304334460498
Localized Learning,0.4099204448926822,0.03668691473133599,0.054595542198847984
Late Fusion,0.5895939760079201,0.05943367526896048,0.10389016018306636
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7153543064176997,0.12972675387407073,0.20671237244897958
Localized Learning,0.4973482232665119,0.07275335233528886,0.09816962953863433
Late Fusion,0.6829591987408367,0.1196876235528371,0.18719175561280824
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6980244278232991,0.08774134676849969,0.17217675941080196
Localized Learning,0.5794287609139492,0.061337660187650356,0.10838206627680312
Late Fusion,0.6931903601048212,0.09232675880094922,0.15312408330888824
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7293295298520241,0.13502474645768253,0.20608719073454154
Localized Learning,0.5600791749152951,0.0715771165442686,0.11605318147374222
Late Fusion,0.7067179800948946,0.12970826834684018,0.18052920619071394
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6887926746559336,0.09145652720260122,0.16514320536258378
Localized Learning,0.5831709145786499,0.06236659577732222,0.11192350956130484
Late Fusion,0.6574747395043834,0.08045370484594855,0.11485367200441744
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.7060970837381649,0.12860800048143725,0.20435978161240187
Localized Learning,0.4185951192893079,0.049168340466678125,0.0842005176694311
Late Fusion,0.5087996851976353,0.05990317630229856,0.11040514469453376
Model | Taiwan | seed=42,auroc,auprc,F1-score
Federated Learning,0.6022442699270321,0.06954904254284759,0.0
Localized Learning,0.4233649162072567,0.038237254428479875,0.0
Late Fusion,0.42362847065265347,0.03825425620161091,0.0
Model | USA | seed=42,auroc,auprc,F1-score
Federated Learning,0.5172343238115321,0.06398911941451707,0.0
Localized Learning,0.4841081503297778,0.0562499927293077,0.0
Late Fusion,0.4844478795076165,0.05628660722584203,0.0
Model | Taiwan | seed=42,auroc,auprc,F1-score
